Time,S21_dB,Phase_Deg,S21_Gauss_SavGol,Phase_Gauss_SavGol,Background_dB,Background_Phase,Anomaly,OBJ,Height
3.2287,0.0436307,-2518.9,0.00647397,-2648.44,0.015538,-713.913,0,NO,1.25
3.2429,-0.0133478,-2551.97,0.00579537,-2680.18,0.015488,-723.996,0,NO,1.25
3.25685,-0.0185042,-2718.46,0.00531189,-2706.15,0.0154361,-734.109,0,NO,1.25
3.27127,0.0180762,-2689.63,0.00497821,-2725.58,0.015383,-744.218,0,NO,1.25
3.28552,-0.0274564,-2811.08,0.00480027,-2738.68,0.0153296,-754.291,0,NO,1.25
3.2998,0.0157453,-2909.1,0.00473869,-2746.17,0.0152764,-764.301,0,NO,1.25
3.31388,0.0424842,-2759.87,0.00467667,-2748.72,0.0152234,-774.223,0,NO,1.25
3.32777,-0.0227427,-2726.16,0.00448135,-2746.57,0.0151699,-784.036,0,NO,1.25
3.34226,-0.000587865,-2822.48,0.00409065,-2739.43,0.0151151,-793.716,0,NO,1.25
3.35622,0.0261901,-2740.61,0.00355657,-2726.74,0.0150581,-803.238,0,NO,1.25
3.37034,0.0277346,-2862.88,0.00297484,-2708.23,0.0149989,-812.576,0,NO,1.25
3.38453,-0.0367199,-2724.69,0.00236554,-2684.63,0.0149373,-821.708,0,NO,1.25
3.39859,0.00317084,-2546.87,0.00168094,-2657.78,0.0148729,-830.621,0,NO,1.25
3.41278,0.0358489,-2544.47,0.000922788,-2630.04,0.0148055,-839.314,0,NO,1.25
3.42892,-0.0154461,-2472.27,0.000188011,-2603.34,0.0147353,-847.795,0,NO,1.25
3.44278,-0.0215711,-2548.28,-0.000393616,-2578.35,0.0146629,-856.075,0,NO,1.25
3.45691,0.0118273,-2458.58,-0.000722021,-2554.4,0.0145896,-864.162,0,NO,1.25
3.47078,-0.0349106,-2617.76,-0.000750561,-2529.91,0.0145169,-872.057,0,NO,1.25
3.48486,0.00215121,-2574.2,-0.000474189,-2503.28,0.0144462,-879.751,0,NO,1.25
3.49898,0.0313877,-2445.9,9.27926e-05,-2473.34,0.0143788,-887.233,0,NO,1.25
3.51297,0.000676959,-2522.16,0.000895068,-2439.19,0.0143158,-894.485,0,NO,1.25
3.52715,-0.0246572,-2370.47,0.00181017,-2399.68,0.0142576,-901.486,0,NO,1.25
